Datetime,holiday,total
2022-12-14,0,282.75
2022-12-15,0,280.82
2022-12-16,0,278.37
2022-12-17,0,281.48
2022-12-18,0,290.91
2022-12-19,0,285.46
2022-12-20,0,298.52
2022-12-21,0,322.52
2022-12-22,0,291.84
2022-12-23,0,279.81
2022-12-24,0,267.95
2022-12-25,1,229.37
2022-12-26,1,244.02
2022-12-27,1,251.57
2022-12-28,1,275.55
2022-12-29,0,287.29
2022-12-30,0,280.38
2022-12-31,0,286.2
